company,receipt_total
Vinder,$231.80
Wikibox,$297.27
Tagcat,$139.39
Thoughtbridge,$117.15
Centimia,$103.81
Dynabox,$238.58
Quamba,$223.96
Kazu,$135.83
Tanoodle,$127.34
Skilith,$275.89
Voonder,$21.70
Twinder,$197.14
Twitternation,$181.20
Thoughtworks,$41.98
Voomm,$104.99
Dablist,$256.99
Yacero,$286.26
Skalith,$166.28
Eire,$286.59
Gigaclub,$44.58
Skinder,$112.20
Skivee,$197.40
Eabox,$116.37
Vinder,$235.76
Bluezoom,$16.65
Browsezoom,$35.01
Aivee,$74.66
InnoZ,$196.57
Miboo,$118.70
Browseblab,$184.91
Buzzbean,$41.15
Buzzdog,$14.14
Kimia,$235.90
Lajo,$109.03
Yabox,$120.53
Yacero,$128.06
Bubbletube,$264.41
Talane,$186.46
Blognation,$66.94
Dabfeed,$109.81
Vipe,$21.37
Livefish,$208.97
Brainsphere,$260.84
Trilith,$236.91
Dabvine,$212.39
Fliptune,$9.15
Topicware,$56.41
Fivespan,$247.31
Linktype,$172.14
Centimia,$275.00
Miboo,$128.03
Brightdog,$277.05
Omba,$285.31
Topiczoom,$165.79
Ozu,$188.39
Lajo,$225.42
Flipbug,$103.67
Wikizz,$221.23
Chatterbridge,$283.66
Trilith,$60.48
Meemm,$31.81
Roodel,$195.42
Miboo,$248.56
Avavee,$155.51
Twitterbridge,$290.78
Wordpedia,$37.08
Dablist,$209.08
Eadel,$143.00
Browsezoom,$152.35
Zoomdog,$139.10
Divanoodle,$35.82
Avamba,$201.22
Rhyloo,$127.17
Bluezoom,$198.92
Snaptags,$231.32
Youfeed,$166.81
Dablist,$262.36
Babbleopia,$35.48
Jaxspan,$187.88
Tagchat,$201.84
Realbuzz,$242.76
Rhyloo,$212.53
Oodoo,$279.41
Bubblemix,$231.38
Dynabox,$79.86
Gevee,$28.33
Abata,$280.94
Mynte,$53.09
Skyvu,$248.43
Tazz,$267.43
LiveZ,$109.09
Jazzy,$252.27
